数据由邢不行整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh605358,N立昂微,2020-09-11,5.9,7.08,5.9,7.08,4.92,146297.0,1034257.0,287306400.0,2836106400.0
sh605358,立昂微,2020-09-14,7.79,7.79,7.79,7.79,7.08,45907.0,357616.0,316118200.0,3120518200.0
sh605358,立昂微,2020-09-15,8.57,8.57,8.57,8.57,7.79,27128.0,232487.0,347770600.0,3432970600.0
sh605358,立昂微,2020-09-16,9.43,9.43,9.43,9.43,8.57,40715.0,383942.0,382669400.0,3777469400.0
sh605358,立昂微,2020-09-17,10.37,10.37,10.37,10.37,9.43,107299.0,1112691.0,420814600.0,4154014600.0
sh605358,立昂微,2020-09-18,11.41,11.41,11.41,11.41,10.37,62357.0,711493.0,463017800.0,4570617800.0
sh605358,立昂微,2020-09-21,12.55,12.55,12.55,12.55,11.41,65835.0,826229.0,509279000.0,5027279000.0
sh605358,立昂微,2020-09-22,13.81,13.81,13.81,13.81,12.55,88112.0,1216827.0,560409800.0,5532009800.0
sh605358,立昂微,2020-09-23,15.19,15.19,15.19,15.19,13.81,183031.0,2780241.0,616410200.0,6084810200.0
sh605358,立昂微,2020-09-24,16.71,16.71,16.71,16.71,15.19,172238.0,2878097.0,678091799.9999999,6693691800.000001
sh605358,立昂微,2020-09-25,18.38,18.38,18.38,18.38,16.71,129194.0,2374586.0,745860399.9999999,7362660400.0
sh605358,立昂微,2020-09-28,20.22,20.22,20.22,20.22,18.38,212322.0,4293151.0,820527600.0,8099727600.0
sh605358,立昂微,2020-09-29,22.24,22.24,22.24,22.24,20.22,257750.0,5732360.0,902499200.0,8908899200.0
sh605358,立昂微,2020-09-30,24.46,24.46,24.46,24.46,22.24,479051.0,11717587.0,992586800.0,9798186800.0
sh605358,立昂微,2020-10-09,26.91,26.91,26.91,26.91,24.46,1148943.0,30918056.0,1092007800.0,10779607800.0
sh605358,立昂微,2020-10-12,29.6,29.6,29.6,29.6,26.91,336670.0,9965432.0,1201168000.0,11857168000.0
sh605358,立昂微,2020-10-13,32.56,32.56,32.56,32.56,29.6,166930.0,5435241.0,1321284800.0,13042884800.0
sh605358,立昂微,2020-10-14,35.82,35.82,35.82,35.82,32.56,114086.0,4086561.0,1453575600.0,14348775600.0
sh605358,立昂微,2020-10-15,39.4,39.4,39.4,39.4,35.82,175632.0,6919901.0,1598852000.0,15782852000.0
sh605358,立昂微,2020-10-16,43.34,43.34,43.34,43.34,39.4,655344.0,28402609.0,1758737200.0,17361137200.0
sh605358,立昂微,2020-10-19,47.67,47.67,47.67,47.67,43.34,3118500.0,148658895.0,1934448600.0,19095648600.0
sh605358,立昂微,2020-10-20,52.44,52.44,52.44,52.44,47.67,7691502.0,403342365.0,2128015200.0,21006415200.0
sh605358,立昂微,2020-10-21,55.0,57.68,54.68,57.68,52.44,26286301.0,1492570806.0,2340654400.0,23105454400.0
sh605358,立昂微,2020-10-22,53.87,54.99,51.91,54.98,57.68,14688246.0,776299653.0,2231088400.0,22023888400.0
sh605358,立昂微,2020-10-23,54.3,57.48,52.0,55.38,54.98,12020451.0,660341914.0,2247320400.0,22184120400.0
sh605358,立昂微,2020-10-26,54.0,60.5,53.0,59.0,55.38,10793736.0,624315855.0,2394220000.0,23634220000.0
sh605358,立昂微,2020-10-27,58.11,58.5,54.03,54.57,59.0,8881024.0,497974427.0,2214450600.0,21859650600.0
sh605358,立昂微,2020-10-28,55.37,55.55,52.11,55.1,54.57,5379543.0,291124292.0,2235958000.0,22071958000.0
sh605358,立昂微,2020-10-29,53.1,58.5,53.09,55.65,55.1,6765642.0,380941930.0,2258277000.0,22292277000.0
sh605358,立昂微,2020-10-30,55.89,57.28,53.0,53.0,55.65,5899072.0,326641044.0,2150740000.0,21230740000.0
sh605358,立昂微,2020-11-02,52.75,55.4,47.7,47.7,53.0,9493724.0,468265646.0,1935666000.0,19107666000.0
sh605358,立昂微,2020-11-03,47.59,52.47,46.53,52.47,47.7,7156606.0,362069220.0,2129232600.0,21018432600.0
sh605358,立昂微,2020-11-04,53.58,55.4,52.63,53.7,52.47,7905653.0,426134573.0,2179146000.0,21511146000.0
sh605358,立昂微,2020-11-05,54.9,59.07,52.35,57.9,53.7,10935313.0,608405398.0,2349582000.0,23193582000.0
sh605358,立昂微,2020-11-06,57.73,63.63,57.0,63.0,57.9,9682971.0,586829001.0,2556540000.0,25236540000.0
sh605358,立昂微,2020-11-09,64.5,69.3,64.3,69.3,63.0,3637879.0,244930696.0,2812194000.0,27760194000.0
sh605358,立昂微,2020-11-10,73.0,75.5,65.2,70.8,69.3,11405453.0,812363524.0,2873064000.0,28361064000.0
sh605358,立昂微,2020-11-11,68.68,70.6,65.65,66.34,70.8,6581752.0,444185820.0,2692077199.9999995,26574477200.000004
sh605358,立昂微,2020-11-12,67.0,67.95,63.0,65.0,66.34,5014936.0,326721369.0,2637700000.0,26037700000.0
sh605358,立昂微,2020-11-13,64.28,71.5,63.3,71.1,65.0,9862332.0,684769857.0,2885238000.0,28481238000.0
sh605358,立昂微,2020-11-16,68.39,73.0,67.36,71.21,71.1,8788701.0,620052041.0,2889701800.0,28525301800.0
sh605358,立昂微,2020-11-17,70.56,75.48,65.95,75.38,71.21,9360354.0,652706314.0,3058920400.0,30195720400.0
sh605358,立昂微,2020-11-18,73.96,82.3,72.3,76.33,75.38,9185724.0,704925237.0,3097471400.0,30576271400.0
sh605358,立昂微,2020-11-19,73.0,80.0,72.0,72.09,76.33,8704501.0,654084511.0,2925412199.9999995,28877812200.000004
sh605358,立昂微,2020-11-20,71.16,73.88,69.9,72.35,72.09,5914159.0,426802411.0,2935963000.0,28981963000.0
sh605358,立昂微,2020-11-23,70.25,73.99,69.42,71.19,72.35,5478587.0,392592889.0,2888890200.0,28517290200.0
sh605358,立昂微,2020-11-24,70.98,74.65,70.62,71.98,71.19,5547280.0,402795474.0,2920948400.0000005,28833748400.0
sh605358,立昂微,2020-11-25,70.9,75.36,70.1,73.74,71.98,7303532.0,532700591.0,2992369200.0,29538769200.0
sh605358,立昂微,2020-11-26,72.5,79.0,71.54,75.7,73.74,7619774.0,579699730.0,3071906000.0,30323906000.0
sh605358,立昂微,2020-11-27,75.1,83.27,73.81,83.27,75.7,10089539.0,798562581.0,3379096599.9999995,33356296600.0
sh605358,立昂微,2020-11-30,81.0,86.88,79.02,80.94,83.27,8964758.0,742041992.0,3284545200.0,32422945200.0
sh605358,立昂微,2020-12-01,79.5,81.96,79.03,80.33,80.94,5101665.0,409425525.0,3259791400.0,32178591400.0
sh605358,立昂微,2020-12-02,79.51,88.18,79.51,86.5,80.33,7200209.0,601747642.0,3510170000.0,34650170000.0
sh605358,立昂微,2020-12-03,85.96,95.15,84.88,95.15,86.5,8464469.0,776187687.0,3861187000.0,38115187000.0
sh605358,立昂微,2020-12-04,94.85,98.5,92.78,92.78,95.15,8050403.0,762603082.0,3765012400.0,37165812400.0
sh605358,立昂微,2020-12-07,95.86,96.86,90.12,90.8,92.78,6758303.0,627056460.0,3684664000.0,36372664000.0
sh605358,立昂微,2020-12-08,91.0,99.88,88.21,99.0,90.8,9274936.0,878820166.0,4017420000.0,39657420000.0
sh605358,立昂微,2020-12-09,96.66,104.1,96.2,99.63,99.0,8084879.0,806036829.0,4042985400.0,39909785400.0
sh605358,立昂微,2020-12-10,97.98,109.59,97.14,109.59,99.63,9604329.0,1014404833.0,4447162200.0,43899562200.0
sh605358,立昂微,2020-12-11,111.0,120.55,107.0,120.55,109.59,11085537.0,1259628231.0,4891919000.0,48289919000.0
sh605358,立昂微,2020-12-14,120.33,132.61,117.73,132.61,120.55,9393669.0,1192360012.0,5381313800.0,53120913800.0
sh605358,立昂微,2020-12-15,134.0,145.0,121.0,124.63,132.61,16129893.0,2120034044.0,5057485400.0,49924285400.0
sh605358,立昂微,2020-12-16,123.18,129.8,115.58,127.0,124.63,11329849.0,1378825002.0,5153660000.0,50873660000.0
sh605358,立昂微,2020-12-17,124.0,139.7,122.3,135.61,127.0,13619359.0,1799369800.0,5503053800.0,54322653800.0
sh605358,立昂微,2020-12-18,132.5,140.96,127.76,133.0,135.61,12607558.0,1695431081.0,5397140000.0,53277140000.0
sh605358,立昂微,2020-12-21,127.0,136.66,125.2,129.5,133.0,10007653.0,1306863119.0,5255110000.0,51875110000.0
sh605358,立昂微,2020-12-22,129.5,131.34,116.55,118.0,129.5,12824759.0,1553575388.0,4788440000.0,47268440000.0
sh605358,立昂微,2020-12-23,114.95,122.62,110.25,120.05,118.0,12220509.0,1421560636.0,4871629000.0,48089629000.0
sh605358,立昂微,2020-12-24,116.85,118.8,109.6,110.35,120.05,9177720.0,1043816087.0,4478003000.0,44204003000.0
sh605358,立昂微,2020-12-25,108.8,108.88,102.92,104.4,110.35,8850287.0,931584859.0,4236552000.0,41820552000.0
sh605358,立昂微,2020-12-28,103.73,109.4,102.8,105.37,104.4,8309628.0,885492797.0,4275914600.0,42209114600.0
sh605358,立昂微,2020-12-29,104.3,115.91,104.0,115.91,105.37,10588178.0,1191588370.0,4703627800.0,46431227800.0
sh605358,立昂微,2020-12-30,117.88,126.75,111.0,122.88,115.91,15155097.0,1799426283.0,4986470400.0,49223270400.0
sh605358,立昂微,2020-12-31,122.0,125.58,120.0,120.4,122.88,10575461.0,1291895237.0,4885832000.0,48229832000.0
sh605358,立昂微,2021-01-04,119.57,122.0,112.04,119.22,120.4,10561669.0,1242445872.0,4837947600.0,47757147600.0
sh605358,立昂微,2021-01-05,116.9,131.0,115.84,128.15,119.22,13127964.0,1622581782.0,5200327000.0,51334327000.0
sh605358,立昂微,2021-01-06,126.0,131.92,121.88,121.9,128.15,10208730.0,1287328537.0,4946702000.0,48830702000.0
sh605358,立昂微,2021-01-07,118.5,121.29,114.86,117.5,121.9,8077890.0,948716919.0,4768150000.0,47068150000.0
sh605358,立昂微,2021-01-08,116.5,122.99,115.33,116.23,117.5,6450273.0,767124544.0,4716613400.0,46559413400.0
sh605358,立昂微,2021-01-11,117.5,123.23,117.5,120.64,116.23,8432974.0,1017964929.0,4895571200.0,48325971200.0
sh605358,立昂微,2021-01-12,119.8,119.8,110.05,114.62,120.64,8295643.0,949670436.0,4651279600.0,45914479600.0
sh605358,立昂微,2021-01-13,110.91,113.33,104.1,104.97,114.62,10125764.0,1088478621.0,4259682600.0,42048882600.0
sh605358,立昂微,2021-01-14,102.0,109.0,100.0,103.91,104.97,7258203.0,767933773.0,4216667800.000001,41624267800.0
sh605358,立昂微,2021-01-15,100.2,103.73,94.01,96.87,103.91,8525023.0,838351410.0,3930984600.0,38804184600.0
sh605358,立昂微,2021-01-18,96.87,106.56,95.87,106.56,96.87,8660253.0,892332395.0,4324204800.0,42685804800.00001
